A00	Vəba
X34.0.4.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.0.4.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.0.5.0	İdman məşğələləri zamanı
X34.0.5.1	Asudə vaxtda məşğələlər zamanı
X34.0.5.2	Gəlir əldə etmək üçün iş zamanı
X34.0.5.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.0.5.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.0.5.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.0.5.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.0.6.0	İdman məşğələləri zamanı
X34.0.6.1	Asudə vaxtda məşğələlər zamanı
X34.0.6.2	Gəlir əldə etmək üçün iş zamanı
X34.0.6.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.0.6.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.0.6.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.0.6.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.0.7.0	İdman məşğələləri zamanı
X34.0.7.1	Asudə vaxtda məşğələlər zamanı
X34.0.7.2	Gəlir əldə etmək üçün iş zamanı
X34.0.7.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.0.7.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.0.7.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.0.7.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.0.8.0	İdman məşğələləri zamanı
X34.0.8.1	Asudə vaxtda məşğələlər zamanı
X34.0.8.2	Gəlir əldə etmək üçün iş zamanı
X34.0.8.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.0.8.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.0.8.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.0.8.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.0.9.0	İdman məşğələləri zamanı
X34.0.9.1	Asudə vaxtda məşğələlər zamanı
X34.0.9.2	Gəlir əldə etmək üçün iş zamanı
X34.0.9.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.0.9.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.0.9.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.0.9.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.1.0.0	İdman məşğələləri zamanı
X34.1.0.1	Asudə vaxtda məşğələlər zamanı
X34.1.0.2	Gəlir əldə etmək üçün iş zamanı
X34.1.0.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.1.0.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.1.0.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.1.0.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.1.1.0	İdman məşğələləri zamanı
X34.1.1.1	Asudə vaxtda məşğələlər zamanı
X34.1.1.2	Gəlir əldə etmək üçün iş zamanı
X34.1.1.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.1.1.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.1.1.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.1.1.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.1.2.0	İdman məşğələləri zamanı
X34.1.2.1	Asudə vaxtda məşğələlər zamanı
X34.1.2.2	Gəlir əldə etmək üçün iş zamanı
X34.1.2.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.1.2.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.1.2.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.1.2.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.1.3.0	İdman məşğələləri zamanı
X34.1.3.1	Asudə vaxtda məşğələlər zamanı
X34.1.3.2	Gəlir əldə etmək üçün iş zamanı
X34.1.3.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.1.3.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.1.3.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.1.3.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.1.4.0	İdman məşğələləri zamanı
X34.1.4.1	Asudə vaxtda məşğələlər zamanı
X34.1.4.2	Gəlir əldə etmək üçün iş zamanı
X34.1.4.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.1.4.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.1.4.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.1.4.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.1.5.0	İdman məşğələləri zamanı
X34.1.5.1	Asudə vaxtda məşğələlər zamanı
X34.1.5.2	Gəlir əldə etmək üçün iş zamanı
X34.1.5.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.1.5.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.1.5.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.1.5.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.1.6.0	İdman məşğələləri zamanı
X34.1.6.1	Asudə vaxtda məşğələlər zamanı
X34.1.6.2	Gəlir əldə etmək üçün iş zamanı
X34.1.6.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.1.6.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.1.6.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.1.6.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.1.7.0	İdman məşğələləri zamanı
X34.1.7.1	Asudə vaxtda məşğələlər zamanı
X34.1.7.2	Gəlir əldə etmək üçün iş zamanı
X34.1.7.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.1.7.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.1.7.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.1.7.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.1.8.0	İdman məşğələləri zamanı
X34.1.8.1	Asudə vaxtda məşğələlər zamanı
X34.1.8.2	Gəlir əldə etmək üçün iş zamanı
X34.1.8.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.1.8.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.1.8.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.1.8.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.1.9.0	İdman məşğələləri zamanı
X34.1.9.1	Asudə vaxtda məşğələlər zamanı
X34.1.9.2	Gəlir əldə etmək üçün iş zamanı
X34.1.9.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.1.9.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.1.9.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.1.9.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.8.0.0	İdman məşğələləri zamanı
X34.8.0.1	Asudə vaxtda məşğələlər zamanı
X34.8.0.2	Gəlir əldə etmək üçün iş zamanı
X34.8.0.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.8.0.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.8.0.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.8.0.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.8.1.0	İdman məşğələləri zamanı
X34.8.1.1	Asudə vaxtda məşğələlər zamanı
X34.8.1.2	Gəlir əldə etmək üçün iş zamanı
X34.8.1.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.8.1.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.8.1.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.8.1.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.8.2.0	İdman məşğələləri zamanı
X34.8.2.1	Asudə vaxtda məşğələlər zamanı
X34.8.2.2	Gəlir əldə etmək üçün iş zamanı
X34.8.2.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.8.2.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.8.2.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.8.2.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.8.3.0	İdman məşğələləri zamanı
X34.8.3.1	Asudə vaxtda məşğələlər zamanı
X34.8.3.2	Gəlir əldə etmək üçün iş zamanı
X34.8.3.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.8.3.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.8.3.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.8.3.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.8.4.0	İdman məşğələləri zamanı
X34.8.4.1	Asudə vaxtda məşğələlər zamanı
X34.8.4.2	Gəlir əldə etmək üçün iş zamanı
X34.8.4.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.8.4.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.8.4.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.8.4.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.8.5.0	İdman məşğələləri zamanı
X34.8.5.1	Asudə vaxtda məşğələlər zamanı
X34.8.5.2	Gəlir əldə etmək üçün iş zamanı
X34.8.5.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.8.5.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.8.5.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.8.5.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.8.6.0	İdman məşğələləri zamanı
X34.8.6.1	Asudə vaxtda məşğələlər zamanı
X34.8.6.2	Gəlir əldə etmək üçün iş zamanı
X34.8.6.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.8.6.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.8.6.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.8.6.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.8.7.0	İdman məşğələləri zamanı
X34.8.7.1	Asudə vaxtda məşğələlər zamanı
X34.8.7.2	Gəlir əldə etmək üçün iş zamanı
X34.8.7.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.8.7.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.8.7.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.8.7.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.8.8.0	İdman məşğələləri zamanı
X34.8.8.1	Asudə vaxtda məşğələlər zamanı
X34.8.8.2	Gəlir əldə etmək üçün iş zamanı
X34.8.8.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.8.8.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.8.8.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.8.8.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.8.9.0	İdman məşğələləri zamanı
X34.8.9.1	Asudə vaxtda məşğələlər zamanı
X34.8.9.2	Gəlir əldə etmək üçün iş zamanı
X34.8.9.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.8.9.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.8.9.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.8.9.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.9.0.0	İdman məşğələləri zamanı
X34.9.0.1	Asudə vaxtda məşğələlər zamanı
X34.9.0.2	Gəlir əldə etmək üçün iş zamanı
X34.9.0.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.9.0.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.9.0.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.9.0.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.9.1.0	İdman məşğələləri zamanı
X34.9.1.1	Asudə vaxtda məşğələlər zamanı
X34.9.1.2	Gəlir əldə etmək üçün iş zamanı
X34.9.1.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.9.1.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.9.1.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.9.1.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.9.2.0	İdman məşğələləri zamanı
X34.9.2.1	Asudə vaxtda məşğələlər zamanı
X34.9.2.2	Gəlir əldə etmək üçün iş zamanı
X34.9.2.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.9.2.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.9.2.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.9.2.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.9.3.0	İdman məşğələləri zamanı
X34.9.3.1	Asudə vaxtda məşğələlər zamanı
X34.9.3.2	Gəlir əldə etmək üçün iş zamanı
X34.9.3.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.9.3.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.9.3.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.9.3.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.9.4.0	İdman məşğələləri zamanı
X34.9.4.1	Asudə vaxtda məşğələlər zamanı
X34.9.4.2	Gəlir əldə etmək üçün iş zamanı
X34.9.4.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.9.4.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.9.4.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.9.4.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.9.5.0	İdman məşğələləri zamanı
X34.9.5.1	Asudə vaxtda məşğələlər zamanı
X34.9.5.2	Gəlir əldə etmək üçün iş zamanı
X34.9.5.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.9.5.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.9.5.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.9.5.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.9.6.0	İdman məşğələləri zamanı
X34.9.6.1	Asudə vaxtda məşğələlər zamanı
X34.9.6.2	Gəlir əldə etmək üçün iş zamanı
X34.9.6.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.9.6.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.9.6.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.9.6.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.9.7.0	İdman məşğələləri zamanı
X34.9.7.1	Asudə vaxtda məşğələlər zamanı
X34.9.7.2	Gəlir əldə etmək üçün iş zamanı
X34.9.7.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.9.7.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.9.7.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.9.7.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.9.8.0	İdman məşğələləri zamanı
X34.9.8.1	Asudə vaxtda məşğələlər zamanı
X34.9.8.2	Gəlir əldə etmək üçün iş zamanı
X34.9.8.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.9.8.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.9.8.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.9.8.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X34.9.9.0	İdman məşğələləri zamanı
X34.9.9.1	Asudə vaxtda məşğələlər zamanı
X34.9.9.2	Gəlir əldə etmək üçün iş zamanı
X34.9.9.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X34.9.9.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X34.9.9.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X34.9.9.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X35.0.0	İdman məşğələləri zamanı
X35.0.1	Asudə vaxtda məşğələlər zamanı
X35.0.2	Gəlir əldə etmək üçün iş zamanı
X35.0.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X35.0.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X35.0.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X35.0.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X35.1.0	İdman məşğələləri zamanı
X35.1.1	Asudə vaxtda məşğələlər zamanı
X35.1.2	Gəlir əldə etmək üçün iş zamanı
X35.1.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X35.1.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X35.1.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X35.1.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X35.2.0	İdman məşğələləri zamanı
X35.2.1	Asudə vaxtda məşğələlər zamanı
X35.2.2	Gəlir əldə etmək üçün iş zamanı
X35.2.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X35.2.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X35.2.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X35.2.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X35.3.0	İdman məşğələləri zamanı
X35.3.1	Asudə vaxtda məşğələlər zamanı
X35.3.2	Gəlir əldə etmək üçün iş zamanı
X35.3.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X35.3.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X35.3.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X35.3.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X35.4.0	İdman məşğələləri zamanı
X35.4.1	Asudə vaxtda məşğələlər zamanı
X35.4.2	Gəlir əldə etmək üçün iş zamanı
X35.4.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X35.4.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X35.4.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X35.4.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X35.5.0	İdman məşğələləri zamanı
X35.5.1	Asudə vaxtda məşğələlər zamanı
X35.5.2	Gəlir əldə etmək üçün iş zamanı
X35.5.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X35.5.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X35.5.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X35.5.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X35.6.0	İdman məşğələləri zamanı
X35.6.1	Asudə vaxtda məşğələlər zamanı
X35.6.2	Gəlir əldə etmək üçün iş zamanı
X35.6.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X35.6.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X35.6.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X35.6.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X35.7.0	İdman məşğələləri zamanı
X35.7.1	Asudə vaxtda məşğələlər zamanı
X35.7.2	Gəlir əldə etmək üçün iş zamanı
X35.7.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X35.7.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X35.7.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X35.7.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X35.8.0	İdman məşğələləri zamanı
X35.8.1	Asudə vaxtda məşğələlər zamanı
X35.8.2	Gəlir əldə etmək üçün iş zamanı
X35.8.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X35.8.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X35.8.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X35.8.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X35.9.0	İdman məşğələləri zamanı
X35.9.1	Asudə vaxtda məşğələlər zamanı
X35.9.2	Gəlir əldə etmək üçün iş zamanı
X35.9.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X35.9.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X35.9.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X35.9.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X36.0.0	İdman məşğələləri zamanı
X36.0.1	Asudə vaxtda məşğələlər zamanı
X36.0.2	Gəlir əldə etmək üçün iş zamanı
X36.0.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X36.0.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X36.0.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X36.0.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X36.1.0	İdman məşğələləri zamanı
X36.1.1	Asudə vaxtda məşğələlər zamanı
X36.1.2	Gəlir əldə etmək üçün iş zamanı
X36.1.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X36.1.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X36.1.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X36.1.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X36.2.0	İdman məşğələləri zamanı
X36.2.1	Asudə vaxtda məşğələlər zamanı
X36.2.2	Gəlir əldə etmək üçün iş zamanı
X36.2.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X36.2.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X36.2.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X36.2.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X36.3.0	İdman məşğələləri zamanı
X36.3.1	Asudə vaxtda məşğələlər zamanı
X36.3.2	Gəlir əldə etmək üçün iş zamanı
X36.3.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X36.3.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X36.3.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X36.3.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X36.4.0	İdman məşğələləri zamanı
X36.4.1	Asudə vaxtda məşğələlər zamanı
X36.4.2	Gəlir əldə etmək üçün iş zamanı
X36.4.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X36.4.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X36.4.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X36.4.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X36.5.0	İdman məşğələləri zamanı
X36.5.1	Asudə vaxtda məşğələlər zamanı
X36.5.2	Gəlir əldə etmək üçün iş zamanı
X36.5.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X36.5.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X36.5.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X36.5.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X36.6.0	İdman məşğələləri zamanı
X36.6.1	Asudə vaxtda məşğələlər zamanı
X36.6.2	Gəlir əldə etmək üçün iş zamanı
X36.6.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X36.6.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X36.6.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X36.6.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X36.7.0	İdman məşğələləri zamanı
X36.7.1	Asudə vaxtda məşğələlər zamanı
X36.7.2	Gəlir əldə etmək üçün iş zamanı
X36.7.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X36.7.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X36.7.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X36.7.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X36.8.0	İdman məşğələləri zamanı
X36.8.1	Asudə vaxtda məşğələlər zamanı
X36.8.2	Gəlir əldə etmək üçün iş zamanı
X36.8.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X36.8.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X36.8.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X36.8.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X36.9.0	İdman məşğələləri zamanı
X36.9.1	Asudə vaxtda məşğələlər zamanı
X36.9.2	Gəlir əldə etmək üçün iş zamanı
X36.9.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X36.9.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X36.9.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X36.9.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X37.0.0	İdman məşğələləri zamanı
X37.0.1	Asudə vaxtda məşğələlər zamanı
X37.0.2	Gəlir əldə etmək üçün iş zamanı
X37.0.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
X37.0.4	İstirahət yuxu,qida qəbulu və digər fəaliyyət növləri zamanı
X37.0.8	Digər dəqiqləşdirilmiş fəaliyyət növləri zamanı
X37.0.9	Dəqiqləşdirilməmiş fəaliyyət zamanı
X37.1.0	İdman məşğələləri zamanı
X37.1.1	Asudə vaxtda məşğələlər zamanı
X37.1.2	Gəlir əldə etmək üçün iş zamanı
X37.1.3	Digər iş növlərinin icrası zamanı-ev vəzifələri,təh sil fəaliyyəti
